epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6563,1.15229,4.27605,1.00384,0.01548,0.4407,0.03237,0.02577,0.98979,4.14407,0.86871,0.00011172,0.00011172,0.00011172
2,160.139,1.09525,3.62765,0.92914,0.01611,0.55052,0.06752,0.05507,0.958,3.92434,0.85348,0.000224779,0.000224779,0.000224779
3,234.588,1.08003,2.88876,0.92215,0.67308,0.10113,0.14289,0.11055,0.9702,3.26871,0.88303,0.000333182,0.000333182,0.000333182
4,312.128,1.05411,2.45595,0.92776,0.64353,0.1956,0.17445,0.13391,0.91934,2.8072,0.88363,0.000436928,0.000436928,0.000436928
5,394.512,1.02707,2.16271,0.91886,0.56231,0.26983,0.22001,0.16189,0.96135,2.27095,0.91327,0.000536016,0.000536016,0.000536016
6,483.679,1.02938,2.01735,0.91498,0.57412,0.27602,0.24596,0.18736,0.91367,2.00962,0.89558,0.000529788,0.000529788,0.000529788
7,564.29,1.02818,1.94922,0.92872,0.50435,0.33275,0.27894,0.21422,0.85741,1.73513,0.87974,0.000518146,0.000518146,0.000518146
8,680.769,1.03434,1.80792,0.91251,0.5211,0.33935,0.28367,0.21413,0.88681,1.71036,0.88713,0.000506503,0.000506503,0.000506503
9,783.926,0.96913,1.68302,0.90973,0.74134,0.27283,0.30485,0.23175,0.81024,1.60739,0.86436,0.000494861,0.000494861,0.000494861
10,962.824,0.95705,1.65517,0.90294,0.57444,0.31226,0.3334,0.26033,0.84197,1.55844,0.86696,0.000483218,0.000483218,0.000483218
11,1073.52,0.93615,1.57638,0.89857,0.57753,0.34795,0.34486,0.27812,0.8054,1.52822,0.8556,0.000471576,0.000471576,0.000471576
12,1154.91,0.92539,1.55863,0.89245,0.47841,0.41532,0.36548,0.28905,0.8163,1.45189,0.85771,0.000459934,0.000459934,0.000459934
13,1232.88,0.90007,1.46353,0.89113,0.72559,0.28714,0.37623,0.30001,0.7792,1.42054,0.8508,0.000448291,0.000448291,0.000448291
14,1312.36,0.8857,1.43007,0.89124,0.70223,0.35137,0.39225,0.3137,0.78908,1.37087,0.85565,0.000436649,0.000436649,0.000436649
15,1391.1,0.88482,1.38886,0.88774,0.62782,0.35377,0.39251,0.31833,0.77428,1.3555,0.85619,0.000425006,0.000425006,0.000425006
16,1466.92,0.9149,1.35213,0.88847,0.74783,0.33615,0.40891,0.33315,0.7753,1.36634,0.85761,0.000413364,0.000413364,0.000413364
17,1545.69,0.88085,1.30984,0.88444,0.83242,0.35987,0.42805,0.35537,0.75003,1.35751,0.8459,0.000401722,0.000401722,0.000401722
18,1621.93,0.87746,1.30793,0.885,0.86631,0.33325,0.43446,0.35542,0.75771,1.33892,0.84442,0.000390079,0.000390079,0.000390079
19,1697.18,0.84461,1.24232,0.87661,0.8364,0.36161,0.44002,0.36451,0.72718,1.26205,0.83971,0.000378437,0.000378437,0.000378437
20,1784.8,0.82685,1.23501,0.87424,0.85523,0.32926,0.43731,0.35625,0.7208,1.2383,0.8425,0.000366794,0.000366794,0.000366794
21,1971.41,0.83381,1.23974,0.87224,0.6154,0.41982,0.44907,0.37136,0.73465,1.20592,0.84531,0.000355152,0.000355152,0.000355152
22,2196.03,0.81002,1.18745,0.87942,0.68648,0.42357,0.47133,0.38603,0.7235,1.2078,0.84126,0.00034351,0.00034351,0.00034351
23,2370.61,0.81182,1.15751,0.87111,0.67262,0.43958,0.4721,0.38347,0.75159,1.24864,0.84865,0.000331867,0.000331867,0.000331867
24,2483.71,0.81088,1.15336,0.86632,0.54033,0.43597,0.46388,0.38337,0.7266,1.20554,0.84479,0.000320225,0.000320225,0.000320225
25,2584.06,0.79516,1.09295,0.86706,0.66981,0.40516,0.47648,0.39438,0.71738,1.14422,0.84593,0.000308582,0.000308582,0.000308582
26,2674.31,0.79639,1.10167,0.86763,0.84655,0.38828,0.48416,0.40036,0.72449,1.13391,0.84451,0.00029694,0.00029694,0.00029694
27,2762.13,0.78853,1.10938,0.86393,0.82577,0.42202,0.48869,0.40537,0.71997,1.15245,0.84373,0.000285298,0.000285298,0.000285298
28,2842.74,0.7583,1.08301,0.86036,0.82623,0.44744,0.51256,0.42553,0.7351,1.13627,0.84838,0.000273655,0.000273655,0.000273655
29,2922.18,0.79206,1.08472,0.87092,0.89288,0.42072,0.53155,0.44739,0.7177,1.13585,0.84163,0.000262013,0.000262013,0.000262013
30,3001.94,0.79826,1.06567,0.85979,0.85558,0.41924,0.53536,0.44786,0.72622,1.13814,0.84282,0.00025037,0.00025037,0.00025037
31,3094.59,0.79287,1.05027,0.86446,0.86288,0.42834,0.53682,0.44367,0.74418,1.08436,0.84522,0.000238728,0.000238728,0.000238728
32,3183.62,0.78286,1.03741,0.8595,0.87611,0.43458,0.53589,0.44891,0.70155,1.08144,0.84085,0.000227086,0.000227086,0.000227086
33,3271.75,0.72643,1.00284,0.85786,0.8624,0.44382,0.51856,0.42992,0.70637,1.07829,0.84159,0.000215443,0.000215443,0.000215443
34,3366.56,0.78746,1.05007,0.86389,0.84435,0.42723,0.51843,0.42418,0.72481,1.10071,0.84131,0.000203801,0.000203801,0.000203801
35,3472.34,0.75681,1.00093,0.85911,0.67932,0.49418,0.52995,0.44092,0.69248,1.05804,0.84055,0.000192158,0.000192158,0.000192158
36,3553.51,0.77363,0.99993,0.86335,0.68543,0.49993,0.53824,0.4518,0.68646,1.05476,0.84013,0.000180516,0.000180516,0.000180516
37,3641.12,0.75461,0.96629,0.8654,0.74475,0.50119,0.54637,0.45609,0.69866,1.03275,0.84193,0.000168874,0.000168874,0.000168874
38,3720.45,0.73921,0.979,0.86024,0.79726,0.46486,0.532,0.44639,0.70004,1.05856,0.83907,0.000157231,0.000157231,0.000157231
39,3797.92,0.73843,0.96536,0.85746,0.74215,0.45755,0.54128,0.45688,0.69673,1.06426,0.83819,0.000145589,0.000145589,0.000145589
40,3879.38,0.74215,0.96979,0.85491,0.59032,0.53572,0.5489,0.46235,0.68726,1.04649,0.83869,0.000133946,0.000133946,0.000133946
